                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2449,                 2.8203,                 1.1055,                0.01221,                0.99739,                0.12153,                0.08266,                    nan,                    nan,                    nan,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.1134,                 1.5785,                 1.0582,                0.79161,                0.02526,                0.36612,                0.26687,                    nan,                    nan,                    nan,             0.00044563,             0.00044563,             0.00044563
                      3,                 1.0331,                 1.2471,                 1.0195,                0.22715,                0.41551,                0.25816,                0.17957,                    nan,                    nan,                    nan,             0.00066994,             0.00066994,             0.00066994
                      4,                0.96797,                 1.0675,                 1.0082,                0.78682,                0.32715,                 0.4521,                0.30461,                    nan,                    nan,                    nan,             0.00088962,             0.00088962,             0.00088962
                      5,                0.97492,                 1.0358,                 1.0215,                0.93318,                0.67521,                0.88728,                0.65473,                    nan,                    nan,                    nan,              0.0011047,              0.0011047,              0.0011047
                      6,                0.93922,                0.95894,                 1.0157,                0.92458,                0.79515,                0.89831,                0.66189,                    nan,                    nan,                    nan,              0.0013151,              0.0013151,              0.0013151
                      7,                  0.957,                 0.9625,                 1.0175,                0.94632,                0.85358,                0.94781,                0.70777,                    nan,                    nan,                    nan,              0.0015209,              0.0015209,              0.0015209
                      8,                0.95857,                0.89817,                  1.025,                0.96655,                0.87859,                0.95228,                0.71093,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                0.94958,                0.90642,                  1.026,                0.95608,                0.85887,                0.94382,                0.68005,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                     10,                 0.9593,                0.87312,                 1.0059,                0.91311,                0.87029,                0.94555,                 0.6513,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     11,                0.92827,                0.80942,                 1.0263,                0.95027,                0.87837,                0.95474,                0.68644,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     12,                0.88061,                0.75896,                0.99564,                 0.9196,                0.94318,                0.97976,                0.75267,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     13,                0.88689,                0.77112,                0.99629,                0.95893,                0.94338,                0.97092,                0.75861,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     14,                0.85167,                0.74341,                0.97745,                0.96286,                0.94655,                  0.974,                0.74959,                    nan,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     15,                0.88298,                 0.7498,                 1.0029,                0.96203,                0.92106,                0.96404,                0.76185,                    nan,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     16,                0.85781,                0.70739,                0.98072,                0.97435,                0.93088,                0.97309,                0.78214,                    nan,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     17,                0.79417,                0.71099,                0.97555,                0.97852,                0.94164,                 0.9754,                0.77769,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     18,                 0.8222,                0.67643,                0.97137,                0.97118,                0.93782,                0.96879,                0.77968,                    nan,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     19,                0.83101,                0.66605,                0.97771,                0.96921,                0.94297,                0.97881,                0.78749,                    nan,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     20,                0.80332,                0.66632,                0.96371,                 0.9821,                0.95477,                0.98753,                0.80872,                    nan,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     21,                 0.8086,                0.64451,                0.96404,                0.97969,                0.95999,                0.98786,                0.82278,                    nan,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
